player_name,team,position
Aaron Ramsdale,Arsenal,GK
Gabriel Dos Santos,Arsenal,DF
Bukayo Saka,Arsenal,FW
Martin Ødegaard,Arsenal,MF
Ben White,Arsenal,DF
Granit Xhaka,Arsenal,MF
Martinelli,Arsenal,FW
Thomas Partey,Arsenal,MF
William Saliba,Arsenal,DF
Oleksandr Zinchenko,Arsenal,DF
Gabriel Jesus,Arsenal,FW
Leandro Trossard,Arsenal,FW
Eddie Nketiah,Arsenal,FW
Jorginho,Arsenal,MF
Kieran Tierney,Arsenal,DF
Takehiro Tomiyasu,Arsenal,DF
Rob Holding,Arsenal,DF
Jakub Kiwior,Arsenal,DF
Fabio Vieira,Arsenal,MF
Albert Sambi Lokonga,Arsenal,MF
Mohamed Elneny,Arsenal,MF
Reiss Nelson,Arsenal,FW
Emile Smith Rowe,Arsenal,MF
Cédric Soares,Arsenal,DF
Ezri Konsa,Aston Villa,DF
Emiliano Martínez,Aston Villa,GK
Ollie Watkins,Aston Villa,FW
Tyrone Mings,Aston Villa,DF
Douglas Luiz,Aston Villa,MF
Jacob Ramsey,Aston Villa,MF
John McGinn,Aston Villa,MF
Emi Buendía,Aston Villa,MF
Leon Bailey,Aston Villa,FW
Ashley Young,Aston Villa,DF
Boubacar Kamara,Aston Villa,MF
Matty Cash,Aston Villa,DF
Lucas Digne,Aston Villa,DF
Álex Moreno,Aston Villa,DF
Danny Ings,Aston Villa,FW
Philippe Coutinho,Aston Villa,MF
Leander Dendoncker,Aston Villa,MF
Calum Chambers,Aston Villa,DF
Robin Olsen,Aston Villa,GK
Diego Carlos,Aston Villa,DF
Bertrand Traoré,Aston Villa,FW
Jan Bednarek,Aston Villa,DF
Jhon Durán,Aston Villa,FW
Morgan Sanson,Aston Villa,MF
Jefferson Lerma, Bournemouth,MF
Adam Smith, Bournemouth,DF
Philip Billing, Bournemouth,MF
Dominic Solanke, Bournemouth,FW
Marcos Senesi, Bournemouth,DF
Neto, Bournemouth,GK
Chris Mepham, Bournemouth,DF
Lloyd Kelly, Bournemouth,DF
Ryan Christie, Bournemouth,MF
Marcus Tavernier, Bournemouth,MF
Lewis Cook, Bournemouth,MF
Jordan Zemura, Bournemouth,DF
Dango Ouattara, Bournemouth,MF
Jack Stephens, Bournemouth,DF
Kieffer Moore, Bournemouth,FW
Joe Rothwell, Bournemouth,MF
Jaidon Anthony, Bournemouth,MF
Ryan Fredericks, Bournemouth,DF
Matías Viña, Bournemouth,DF
Hamed Junior Traorè, Bournemouth,FW
Jack Stacey, Bournemouth,DF
Illia Zabarnyi, Bournemouth,DF
Ben Pearson, Bournemouth,MF
Antoine Semenyo, Bournemouth,FW
David Brooks, Bournemouth,FW
Siriki Dembélé, Bournemouth,FW
David Raya,Brentford,GK
Ben Mee,Brentford,DF
Rico Henry,Brentford,DF
Mathias Jensen,Brentford,MF
Bryan Mbeumo,Brentford,FW
Ivan Toney,Brentford,FW
Ethan Pinnock,Brentford,DF
Vitaly Janelt,Brentford,MF
Aaron Hickey,Brentford,DF
Christian Nørgaard,Brentford,MF
Yoane Wissa,Brentford,FW
Josh Dasilva,Brentford,MF
Mads Roerslev,Brentford,DF
Mathias Jørgensen,Brentford,DF
Mikkel Damsgaard,Brentford,MF
Kristoffer Ajer,Brentford,DF
Pontus Jansson,Brentford,DF
Frank Onyeka,Brentford,MF
Kevin Schade,Brentford,FW
Shandon Baptiste,Brentford,MF
Saman Ghoddos,Brentford,MF
Sergi Canós,Brentford,FW
Halil Dervişoğlu,Brentford,MF
Pascal Groß,Brighton,MF
Lewis Dunk,Brighton,DF
Moisés Caicedo,Brighton,MF
Alexis Mac Allister,Brighton,MF
Solly March,Brighton,FW
Pervis Estupiñán,Brighton,DF
Joël Veltman,Brighton,DF
Kaoru Mitoma,Brighton,FW
Adam Webster,Brighton,DF
Danny Welbeck,Brighton,FW
Leandro Trossard,Brighton,FW
Jason Steele,Brighton,GK
Levi Colwill,Brighton,DF
Adam Lallana,Brighton,MF
Evan Ferguson,Brighton,FW
Julio César Enciso,Brighton,FW
Billy Gilmour,Brighton,MF
Deniz Undav,Brighton,FW
Facundo Buonanotte,Brighton,FW
Tariq Lamptey,Brighton,DF
Jan Paul van Hecke,Brighton,DF
Enock Mwepu,Brighton,FW
Jeremy Sarmiento,Brighton,MF
Yasin Ayari,Brighton,MF
Odeluga Offiah,Brighton,DF
Kai Havertz,Chelsea,FW
Kepa Arrizabalaga,Chelsea,GK
Thiago Silva,Chelsea,DF
